ticker,date,TotalDebt,WorkingCapital,AccountsReceivable,FreeCashFlow,FinancingCashFlow,OperatingCashFlow,SaleOfPPE
ABBN.SW,2019-12-31,10433937166.021742,6408782752.902155,6175905472.636815,1617720840.243228,-1431419016.030956,2406398562.741846,84870831.030035
ABBN.SW,2020-12-31,8090544528.790965,4328134604.702833,7289669227.920755,1134857341.233105,-9286745510.090725,1923236715.42307,129503240.14071469
ABBN.SW,2021-12-31,7104102216.629562,3428167844.351951,6803712709.321461,2751743296.873488,-5446478366.0826645,3650719194.6568584,101957022.55347984
ABEV3.SA,2018-12-31,624210508.5508549,129160328.53285325,1257155378.0378034,3694763501.350134,-3406555355.5355525,4614834383.438343,26383438.343834378
ABEV3.SA,2019-12-31,761952636.3575966,649331518.922869,1118374714.8836281,3311687769.3380866,-3055846026.0867634,4572835312.354672,47466554.46553136
ABEV3.SA,2020-12-31,922669071.9384954,358975123.5584844,828482624.9313564,2726843964.854476,-1656156617.243273,3630336891.8176827,20793410.214168042
ABEV3.SA,2021-12-31,562001213.9268789,-42934013.72402971,860044398.6624614,2732592022.313433,-2879378963.883297,4110554885.0255923,54152140.21964785
ABT,2018-12-31,19566000000.0,5620000000.0,5182000000.0,4906000000.0,-10391000000.0,6300000000.0,
ABT,2019-12-31,18894000000.0,4804000000.0,5425000000.0,4498000000.0,-4289000000.0,6136000000.0,
ABT,2020-12-31,19649000000.0,8534000000.0,6414000000.0,5724000000.0,-2779000000.0,7901000000.0,
ABT,2021-12-31,19006000000.0,11134000000.0,6487000000.0,8648000000.0,-5494000000.0,10533000000.0,
ABX.TO,2018-12-31,4210195450.1762257,1694937520.0256329,55764178.14802948,267814802.94777316,-678708747.1964114,1295049663.5693688,51361743.031079784
ABX.TO,2019-12-31,4260270173.9964375,3471473763.5292506,52329908.20660365,871139060.1452254,-876525962.460611,2180156322.783943,31551856.41868749
ABX.TO,2020-12-31,4210429476.108233,4649212115.396917,208009659.0545641,2639760314.718864,-1769259515.1282544,4252031407.9191456,35322394.9337939
ABX.TO,2021-12-31,4306760091.711248,4849728201.2089205,190432293.47599527,1528966719.933301,-1879141805.0441186,3445093309.247551,27541860.626693532
ACA,2018-12-31,185500000.0,432800000.0,291400000.0,73700000.0,338600000.0,118500000.0,10200000.0
ACA,2019-12-31,107300000.0,473200000.0,200000000.0,273400000.0,-108400000.0,358800000.0,8900000.0
ACA,2020-12-31,254500000.0,354600000.0,260200000.0,177800000.0,123700000.0,259900000.0,9600000.0
ACA,2021-12-31,679500000.0,403900000.0,310800000.0,81400000.0,380900000.0,166500000.0,20000000.0
ADI,2018-10-31,6332674000.0,705988000.0,639717000.0,2187485000.0,-2358042000.0,2442361000.0,
